,,,,,,,,,,,,,,
,74 / 82,,,,,Philly Historical Challenges,,,,,,,,90%
,,,,,,,,,,,,,,
,#,Time,URL,Start_Seconds,End_Seconds,Stance,Skater,Trick,Location,Film Source,Film_URL,F_Start_Seconds,F_End_Seconds,Done
,49,10:06,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=606s,,,Goofy,Josh Kalis,Bs Crooked Grind,,Photosynthesis,,,,TRUE
,50,10:20,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=620s,,,Goofy,Josh Kalis,Nollie Fs Nosegrind - Bs Bigspin - Switch Big Heel,,The DC Video,,,,FALSE
,51,9:53,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=593s,,,Goofy,Josh Kalis,Fs Noseblunt,,Photosynthesis,,,,TRUE
,52,7:29,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=449s,,,Goofy,Josh Kalis,Switch Bs Tailslide,,Photosynthesis,,,,TRUE
,53,7:38,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=458s,,,Goofy,Josh Kalis,Switch Fs Nosegrind Fakie Kickflip Out,,Sixth Sense,,,,TRUE
,54,7:43,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=463s,,,Goofy,Josh Kalis,Bs Tailslide,,Photosynthesis,,,,TRUE
,55,5:47,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=347s,,,Goofy,Josh Kalis,Nollie Bs 5-0,,The DC Video,,,,TRUE
,56,7:48,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=468s,,,Goofy,Josh Kalis,Bs Crooked - Bs Tailslide - Nollie Bs 180 - Switch Fs Tailslide,,Sixth Sense,,,,TRUE
,57,6:21,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=381s,,,Goofy,Josh Kalis,Fs Nosegrind - Nollie Kickflip,,Sixth Sense,,,,TRUE
,58,6:28,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=388s,,,Goofy,Josh Kalis,Nollie Kickflip - Bs Blunt - Nollie Bs Heel,,Photosynthesis,,,,TRUE
,59,9:17,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=557s,,,Goofy,Josh Kalis,Fs Noseblunt - Nollie Fs 180 - Switch Fs Nosegrind,,Photosynthesis,,,,TRUE
,60,8:07,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=487s,,,Goofy,Josh Kalis,Nollie Bs Crooked - Nollie Fs Kickflip - Switch Kickflip Bs Tailslide,,Photosynthesis,,,,TRUE
,61,9:33,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=573s,,,Goofy,Josh Kalis,Fakie Ollie Bs 5-0 - Switch Bs Crooked - Switch Heel - Switch Bs Tailslide,,The DC Video,,,,FALSE
,62,8:31,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=511s,,,Goofy,Josh Kalis,Fakie Ollie Bs 5-0 - Fs Revert - 360 Flip - Bs Nosegrind Fs To Fakie - Switch Heelflip - Switch fs Tailslide,,The Reason,,,,FALSE
,63,5:14,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=314s,,,Goofy,Josh Kalis,Nollie Kickflip - Kickflip Bs Tailslide,,Photosynthesis,,,,TRUE
,64,4:44,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=284s,,,Regular,Kerry Getz,Fakie Kickflip - Switch Fs Ollie,,Skate More,,,,TRUE
,65,4:50,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=290s,,,Regular,Kerry Getz,Fakie Fs Kickflip - Fs Ollie,,Habitat - Guest Trick,,,,TRUE
,66,4:30,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=270s,,,Regular,Kerry Getz,Fs Nosegrind - Nollie Bs Heelflip - Fakie Fs Kickflip - Ollie,,Photosynthesis,,,,TRUE
,67,2:32,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=152s,,,Regular,Kerry Getz,Bs 50-50 - Bs 50-50 Ollie Out,,Jump Of a Building,,,,TRUE
,68,2:55,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=175s&pp=0gcJCTAAlc8ueATH,,,Regular,Kerry Getz,Switch Bs Crooked - Switch Heel - Fakie Fs Kickflip - Fs 180 Ollie,,Mosaic,,,,TRUE
,69,4:22,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=262s&pp=0gcJCTAAlc8ueATH,,,Regular,Kerry Getz,Kickflip Manual Kickflip Out - Bs Heelflip,,Mosaic,,,,TRUE
,70,3:14,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=194s,,,Regular,Kerry Getz,Switch Hardflip- Fakie Bs 180 - Bs Lipslide,,Jump Of a Building,,,,TRUE
,71,2:20,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=140s,,,Regular,Kerry Getz,Nollie Fs Nosegrind,,Feedback,,,,TRUE
,72,6:41,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=401s,,,Goofy,Stevie Williams,Hardflip Fs Noseslide,,The Reason,,,,TRUE
,73,7:34,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=454s,,,Goofy,Stevie Williams,Switch Fs Noseslide,,The Reason,,,,TRUE
,74,6:47,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=407s,,,Goofy,Stevie Williams,Switch Heelflip Bs 5-0,,The Reason,,,,TRUE
,75,6:13,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=373s,,,Goofy,Stevie Williams,Switch Bs Heelflip - Bs Tailslide Bs Shove-It Out,,The Reason,,,,FALSE
,76,8:55,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=535s&pp=0gcJCTAAlc8ueATH,,,Goofy,Stevie Williams,Nollie Fs 180 Fs Nosegrind - Fakie Ollie Fs Noseblunt - Fakie Bs 180 - Bs Crooked Grind,,The Reason,,,,FALSE
,77,5:53,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=353s,,,Goofy,Stevie Williams,Nollie Fs 180 - Fakie Kickflip - Switch Bs 180 - Fs Kickflip - Switch Heelflip - Switch Fs Tailslide Fs Shove-It Out,,The Reason,,,,FALSE
,78,6:53,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=413s,,,Goofy,Stevie Williams,Nollie Heelflip Bs Noseslide - Nollie Fs Heelflip,,The Reason,,,,TRUE
,79,8:19,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=499s,,,Goofy,Stevie Williams,BS Crooked To Fakie - Switch Kickflip Fs 5-0 - Switch Bs Kickflip,,The Reason,,,,TRUE
,80,7:12,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=432s,,,Goofy,Stevie Williams,Nollie Fs Heelflip - Switch 360 Flip - Fs Revert - Fs Noseslide,,Chocolate Tour,,,,TRUE
,81,7:01,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=421s,,,Goofy,Stevie Williams,Switch Heelflip Nose Manual,,The Reason,,,,TRUE
,82,7:06,https://www.youtube.com/watch?v=i6WdyyBgJLk&t=426s,,,Goofy,Stevie Williams,Fakie Ollie Fakie Manual Fakie 360 Flip Out,,Chocolate Tour,,,,TRUE
,,,,,,,,,,,,,,Home
