,,,,,,,,,,,,,,,,
,73 / 73,,,,,Lower Manhattan Historical Challenges,,,,,,,,100%,,
,,,,,,,,,,,,,,,,
,#,Time,URL,Start_Seconds,End_Seconds,Stance,Skater,Trick,Location,Film Source,Film_URL,F_Start_Seconds,F_End_Seconds,Done,,
,57,1:49,https://www.youtube.com/watch?v=2EVPt1Wssy0,109,113,Regular,Saro Tegrarian ,Fs 50-50,,,,,,TRUE,,
,58,4:29,https://www.youtube.com/watch?v=2EVPt1Wssy0,269,272,Goofy,Mark Gonzales ,Bs Boardslide,,,,,,TRUE,,
,59,2:20,https://www.youtube.com/watch?v=2EVPt1Wssy0,140,146,Regular,Zered Bassett ,Fs Noseblunt,,,,,,TRUE,,
,60,3:31,https://www.youtube.com/watch?v=2EVPt1Wssy0,211,215,Regular,Timmy Knuth ,KickFlip Fs Nosegrind,,,,,,TRUE,,
,61,3:09,https://www.youtube.com/watch?v=2EVPt1Wssy0,189,196,Regular,Brian Wenning ,Bs Nollie Heelflip - Fs Switch Ollie,,,,,,TRUE,,
,62,1:03,https://www.youtube.com/watch?v=2EVPt1Wssy0,63,66,Regular,Chris Cole ,Nollie BS Crooked,,,,,,TRUE,,
,63,3:35,https://www.youtube.com/watch?v=2EVPt1Wssy0,215.5,219,Regular,Crea-ture Studio ,Kickflip Bs Tailslide Varial Kicklip Out,,,,,,TRUE,,
,64,1:54,https://www.youtube.com/watch?v=2EVPt1Wssy0,114,118,Regular,Crea-Ture Studio ,Nollie KickFlip Bs Noseblunt,,,,,,TRUE,,
,65,2:28,https://www.youtube.com/watch?v=2EVPt1Wssy0,148,163,Regular,Figgy ,KickFlip Bs Noseslide,,,,,,TRUE,,
,66,5:24,https://www.youtube.com/watch?v=2EVPt1Wssy0,324,331,Goofy,Heath Kirchart ,Bs Tailslide Bs Shove-It Out,,,,,,TRUE,,
,67,1:07,https://www.youtube.com/watch?v=2EVPt1Wssy0,67,98,Regular,Jamie Thomas ,Bs Lipslide - Kickflip - Ollie - Bs 50-50,,Welcome to Hell,https://youtu.be/mJXWp6JUu_A?si=npz0p9T77BRlJtP0,1217,1252,TRUE,,-
,68,6:18,https://www.youtube.com/watch?v=2EVPt1Wssy0&t=377s,378,381,Goofy,Manny Santiago ,Fs Pop Shove-It Bs Boardslide,,,,,,TRUE,,
,69,6:22,https://www.youtube.com/watch?v=2EVPt1Wssy0&t=381s,382,386,Goofy,Manny Santiago ,Kickflip BS Boardslide,,,,,,TRUE,,
,70,6:27,https://www.youtube.com/watch?v=2EVPt1Wssy0&t=386s,387,391,Goofy,Manny Santiago ,Kickflip Bs Feeble,,,,,,TRUE,,
,71,5:32,https://www.youtube.com/watch?v=2EVPt1Wssy0&t=331s,332,336,Goofy,Matt Allen ,Fs 180 BS Nosegrind Fs 180 To Fakie,,,,,,TRUE,,
,72,4:33,https://www.youtube.com/watch?v=2EVPt1Wssy0&t=272s&pp=0gcJCTAAlc8ueATH,273,308,Goofy,Nates Best Line ,BS 50-50 - Ollie - Kickflip - Treflip,,,,,,TRUE,,
,73,6:32,https://www.youtube.com/watch?v=2EVPt1Wssy0&t=391s,392,395,Goofy,Nick Fiorini ,Nollie Bs Crooked,,,,,,TRUE,,
,,,,,,,,,,,,,,Home,,
